Player,Season,Height_in,Height_cm,Position,Team,Games,MPG,PPG
A.J. Green,2020-21,76,193.04,SG,MIL,73,22.7,7.4
A.J. Lawson,2020-21,78,198.12,SG,TOR,26,18.7,9.1
AJ Johnson,2020-21,76,193.04,SG,2TM,29,22,7.6
Aaron Gordon,2020-21,80,203.2,PF,DEN,51,28.4,14.7
Aaron Holiday,2020-21,72,182.88,PG,HOU,62,12.8,5.5
Aaron Nesmith,2020-21,77,195.58,SF,IND,45,24.9,12
Aaron Wiggins,2020-21,78,198.12,SG,OKC,76,22.9,12
Adem Bona,2020-21,82,208.28,C,PHI,58,15.6,5.8
Ajay Mitchell,2020-21,77,195.58,SG,OKC,36,16.6,6.5
Al Horford,2020-21,81,205.74,C,BOS,60,27.7,9
Alec Burks,2020-21,78,198.12,SG,MIA,49,17.6,7.3
Alex Caruso,2020-21,77,195.58,SG,OKC,54,19.3,7.1
Alex Sarr,2020-21,84,213.36,C,WAS,67,27.1,13
Alperen ÅengÃ¼n,2020-21,,,C,HOU,76,31.5,19.1
Amen Thompson,2020-21,79,200.66,SF,HOU,69,32.2,14.1
Amir Coffey,2020-21,79,200.66,SG,LAC,72,24.3,9.7
Andre Drummond,2020-21,83,210.82,C,PHI,40,18.8,7.3
Andrew Nembhard,2020-21,77,195.58,SG,IND,65,28.9,10
Andrew Wiggins,2020-21,79,200.66,SF,2TM,60,30.7,18
Anfernee Simons,2020-21,75,190.5,SG,POR,70,32.7,19.3
Anthony Black,2020-21,79,200.66,PG,ORL,78,24.2,9.4
Anthony Davis,2020-21,82,208.28,C,2TM,51,33.5,24.7
Anthony Edwards,2020-21,76,193.04,SG,MIN,79,36.3,27.6
Antonio Reeves,2020-21,77,195.58,SG,NOP,44,15,6.9
Ausar Thompson,2020-21,79,200.66,SF,DET,59,22.5,10.1
Austin Reaves,2020-21,77,195.58,SG,LAL,73,34.9,20.2
Ayo Dosunmu,2020-21,77,195.58,SG,CHI,46,30.3,12.3
Bam Adebayo,2020-21,81,205.74,C,MIA,78,34.3,18.1
Ben Sheppard,2020-21,78,198.12,SG,IND,63,19.5,5.3
Ben Simmons,2020-21,82,208.28,PG,2TM,51,22,5
Bennedict Mathurin,2020-21,78,198.12,SF,IND,72,29.8,16.1
Bilal Coulibaly,2020-21,78,198.12,SF,WAS,59,33,12.3
Bismack Biyombo,2020-21,80,203.2,C,SAS,28,18.9,5.1
Bobby Portis,2020-21,82,208.28,PF,MIL,49,25.4,13.9
Bogdan BogdanoviÄ,2020-21,,,SG,2TM,54,25,10.8
Bol Bol,2020-21,87,220.98,PF,PHO,36,12.4,6.8
Bones Hyland,2020-21,74,187.96,PG,2TM,24,10,6.2
Bradley Beal,2020-21,76,193.04,SG,PHO,53,32.1,17
Brandin Podziemski,2020-21,77,195.58,SG,GSW,64,26.8,11.7
Brandon Boston Jr.,2020-21,79,200.66,SG,NOP,42,23.6,10.7
Brandon Clarke,2020-21,80,203.2,PF,MEM,64,18.9,8.3
Brandon Miller,2020-21,81,205.74,SF,CHO,27,34.2,21
Brandon Williams,2020-21,78,198.12,PG,DAL,33,14.8,8.3
Brandon Williams,2020-21,73,185.42,PG,DAL,33,14.8,8.3
Brice Sensabaugh,2020-21,78,198.12,SF,UTA,71,20.2,10.9
Brook Lopez,2020-21,85,215.9,C,MIL,80,31.8,13
Bruce Brown,2020-21,76,193.04,PG,2TM,41,22.5,8.3
Bub Carrington,2020-21,76,193.04,PG,WAS,82,30,9.8
Buddy Hield,2020-21,76,193.04,SG,GSW,82,22.7,11.1
CJ McCollum,2020-21,75,190.5,PG,NOP,56,32.7,21.1
Cade Cunningham,2020-21,78,198.12,PG,DET,70,35,26.1
Caleb Martin,2020-21,77,195.58,SF,2TM,45,27.1,7.9
Cam Thomas,2020-21,76,193.04,SG,BRK,25,31.2,24
Cam Whitmore,2020-21,79,200.66,SF,HOU,51,16.2,9.4
Cameron Johnson,2020-21,80,203.2,PF,BRK,57,31.6,18.8
Cameron Payne,2020-21,75,190.5,PG,NYK,72,15.1,6.9
Caris LeVert,2020-21,78,198.12,SG,2TM,64,24.9,12.1
Cason Wallace,2020-21,76,193.04,SG,OKC,68,27.6,8.4
Chet Holmgren,2020-21,85,215.9,C,OKC,32,27.4,15
Chris Boucher,2020-21,81,205.74,PF,TOR,50,17.2,10
Chris Paul,2020-21,72,182.88,PG,SAS,82,28,8.8
Christian Braun,2020-21,78,198.12,SG,DEN,79,33.9,15.4
Clint Capela,2020-21,82,208.28,C,ATL,55,21.4,8.9
Coby White,2020-21,77,195.58,SG,CHI,74,33.1,20.4
Cody Martin,2020-21,77,195.58,SF,2TM,53,22.1,6.8
Cole Anthony,2020-21,74,187.96,PG,ORL,67,18.4,9.4
Colin Castleton,2020-21,83,210.82,C,3TM,26,16.6,4.7
Collin Gillespie,2020-21,73,185.42,PG,PHO,33,14,5.9
Collin Sexton,2020-21,75,190.5,SG,UTA,63,27.9,18.4
Corey Kispert,2020-21,79,200.66,SF,WAS,61,26.3,11.6
D'Angelo Russell,2020-21,75,190.5,PG,2TM,58,25.5,12.6
DaQuan Jeffries,2020-21,77,195.58,SG,CHO,47,22.8,6.7
Dalano Banton,2020-21,81,205.74,PG,POR,67,16.7,8.3
Dalton Knecht,2020-21,78,198.12,SF,LAL,78,19.2,9.1
Damian Lillard,2020-21,74,187.96,PG,MIL,58,36.1,24.9
Daniel Gafford,2020-21,82,208.28,C,DAL,57,21.5,12.3
DantÃ© Exum,2020-21,,,PG,DAL,20,18.6,8.7
Dariq Whitehead,2020-21,79,200.66,SF,BRK,20,12.3,5.7
Darius Garland,2020-21,73,185.42,PG,CLE,75,30.7,20.6
Davion Mitchell,2020-21,74,187.96,PG,2TM,74,27.4,7.9
Day'Ron Sharpe,2020-21,83,210.82,C,BRK,50,18.2,7.9
De'Aaron Fox,2020-21,75,190.5,PG,2TM,62,36.1,23.5
De'Andre Hunter,2020-21,80,203.2,SF,2TM,64,27.2,17
DeMar DeRozan,2020-21,78,198.12,SF,SAC,77,35.9,22.2
Dean Wade,2020-21,81,205.74,PF,CLE,59,21.2,5.4
Deandre Ayton,2020-21,84,213.36,C,POR,40,30.2,14.4
Dejounte Murray,2020-21,77,195.58,PG,NOP,31,32.6,17.5
Deni Avdija,2020-21,81,205.74,SF,POR,72,30,16.9
Dennis SchrÃ¶der,2020-21,,,PG,3TM,75,28.1,13.1
Dereck Lively II,2020-21,85,215.9,C,DAL,36,23.1,8.7
Derrick Jones Jr.,2020-21,77,195.58,SF,LAC,77,24.3,10.1
Derrick White,2020-21,76,193.04,SG,BOS,76,33.9,16.4
Desmond Bane,2020-21,77,195.58,SG,MEM,69,32,19.2
Devin Booker,2020-21,78,198.12,SG,PHO,75,37.3,25.6
Devin Vassell,2020-21,77,195.58,SG,SAS,64,31,16.3
Dillon Brooks,2020-21,78,198.12,SF,HOU,75,31.8,14
Domantas Sabonis,2020-21,82,208.28,C,SAC,70,34.7,19.1
Donovan Clingan,2020-21,86,218.44,C,POR,67,19.8,6.5
Donovan Mitchell,2020-21,75,190.5,SG,CLE,71,31.4,24
Donte DiVincenzo,2020-21,76,193.04,SG,MIN,62,25.9,11.7
Dorian Finney-Smith,2020-21,79,200.66,PF,2TM,63,28.9,8.7
Draymond Green,2020-21,78,198.12,PF,GSW,68,29.2,9
Duncan Robinson,2020-21,79,200.66,SF,MIA,74,24.1,11
Dyson Daniels,2020-21,80,203.2,SG,ATL,76,33.8,14.1
Eric Gordon,2020-21,75,190.5,SG,PHI,39,19.7,6.8
Evan Mobley,2020-21,83,210.82,PF,CLE,71,30.5,18.5
Franz Wagner,2020-21,82,208.28,SF,ORL,60,33.7,24.2
Fred VanVleet,2020-21,72,182.88,PG,HOU,60,35.2,14.1
GG Jackson II,2020-21,81,205.74,PF,MEM,29,15.8,7.2
Gabe Vincent,2020-21,75,190.5,PG,LAL,72,21.2,6.4
Garrison Mathews,2020-21,77,195.58,SG,ATL,47,17.7,7.5
Gary Payton II,2020-21,74,187.96,SG,GSW,62,15,6.5
Gary Trent Jr.,2020-21,77,195.58,SG,MIL,74,25.6,11.1
Georges Niang,2020-21,79,200.66,PF,2TM,79,21.5,9.9
Giannis Antetokounmpo,2020-21,83,210.82,PF,MIL,67,34.2,30.4
Goga Bitadze,2020-21,83,210.82,C,ORL,70,20.4,7.2
Gradey Dick,2020-21,78,198.12,SG,TOR,54,29.4,14.4
Grayson Allen,2020-21,76,193.04,SG,PHO,64,24.1,10.6
Guerschon Yabusele,2020-21,80,203.2,C,PHI,70,27.1,11
Harrison Barnes,2020-21,80,203.2,PF,SAS,82,27.2,12.3
Haywood Highsmith,2020-21,79,200.66,SF,MIA,74,24.6,6.5
Herbert Jones,2020-21,80,203.2,SF,NOP,20,32.4,10.3
Immanuel Quickley,2020-21,75,190.5,PG,TOR,33,27.8,17.1
Isaac Okoro,2020-21,77,195.58,SG,CLE,55,19.1,6.1
Isaiah Collier,2020-21,75,190.5,PG,UTA,71,25.9,8.7
Isaiah Hartenstein,2020-21,84,213.36,C,OKC,57,27.9,11.2
Isaiah Joe,2020-21,77,195.58,SG,OKC,74,21.7,10.2
Isaiah Stewart,2020-21,80,203.2,C,DET,72,19.9,6
Isaiah Wong,2020-21,76,193.04,SG,CHO,20,13.3,6
Ivica Zubac,2020-21,84,213.36,C,LAC,80,32.8,16.8
Ja Morant,2020-21,74,187.96,PG,MEM,50,30.4,23.2
Ja'Kobe Walter,2020-21,77,195.58,SG,TOR,52,21.2,8.6
Jabari Smith Jr.,2020-21,83,210.82,PF,HOU,57,30.1,12.2
Jabari Walker,2020-21,81,205.74,PF,POR,60,12.5,5.2
Jaden Hardy,2020-21,76,193.04,SG,DAL,57,15.9,8.7
Jaden Ivey,2020-21,76,193.04,SG,DET,30,29.9,17.6
Jaden McDaniels,2020-21,81,205.74,PF,MIN,82,31.9,12.2
Jaime Jaquez Jr.,2020-21,78,198.12,SF,MIA,66,20.7,8.6
Jake LaRavia,2020-21,80,203.2,PF,2TM,66,20.4,6.9
Jakob Poeltl,2020-21,84,213.36,C,TOR,57,29.6,14.5
Jalen Brunson,2020-21,74,187.96,PG,NYK,65,35.4,26
Jalen Duren,2020-21,82,208.28,C,DET,78,26.1,11.8
Jalen Green,2020-21,76,193.04,SG,HOU,82,32.9,21
Jalen Johnson,2020-21,81,205.74,SF,ATL,36,35.7,18.9
Jalen Smith,2020-21,82,208.28,C,CHI,64,15,8.2
Jalen Suggs,2020-21,77,195.58,PG,ORL,35,28.6,16.2
Jalen Williams,2020-21,78,198.12,SG,OKC,69,32.4,21.6
Jalen Wilson,2020-21,80,203.2,PF,BRK,79,25.7,9.5
Jamal Cain,2020-21,79,200.66,SF,NOP,37,13.6,5.3
Jamal Murray,2020-21,76,193.04,PG,DEN,67,36.1,21.4
Jamal Shead,2020-21,72,182.88,PG,TOR,75,19.6,7.1
James Harden,2020-21,77,195.58,PG,LAC,79,35.3,22.8
Jamison Battle,2020-21,79,200.66,SF,TOR,59,17.7,7.1
Jarace Walker,2020-21,80,203.2,PF,IND,75,15.8,6.1
Jared Butler,2020-21,75,190.5,SG,2TM,60,17.4,9
Jared McCain,2020-21,74,187.96,SG,PHI,23,25.7,15.3
Jaren Jackson Jr.,2020-21,82,208.28,C,MEM,74,29.8,22.2
Jarrett Allen,2020-21,83,210.82,C,CLE,82,28,13.5
Javonte Green,2020-21,76,193.04,SG,2TM,68,18.5,5.1
Jaxson Hayes,2020-21,84,213.36,C,LAL,56,19.5,6.8
Jay Huff,2020-21,85,215.9,C,MEM,64,11.7,6.9
Jaylen Brown,2020-21,78,198.12,SF,BOS,63,34.3,22.2
Jaylen Wells,2020-21,79,200.66,SG,MEM,79,25.9,10.4
Jaylin Williams,2020-21,80,203.2,PF,OKC,47,16.7,5.9
Jayson Tatum,2020-21,80,203.2,PF,BOS,72,36.4,26.8
Jeff Dowtin Jr.,2020-21,,,PG,PHI,41,15.1,7
Jeff Green,2020-21,80,203.2,PF,HOU,32,12.4,5.4
Jerami Grant,2020-21,79,200.66,PF,POR,47,32.4,14.4
Jeremiah Robinson-Earl,2020-21,81,205.74,PF,NOP,66,18.8,6.3
Jeremy Sochan,2020-21,80,203.2,PF,SAS,54,25.3,11.4
Jimmy Butler,2020-21,79,200.66,SF,2TM,55,31.7,17.5
Jock Landale,2020-21,83,210.82,C,HOU,42,11.9,4.8
John Collins,2020-21,81,205.74,PF,UTA,40,30.5,19
Johnny Juzang,2020-21,79,200.66,SG,UTA,64,19.8,8.9
